notification_date,count,mean_7day
2020-03-05,4,3.5714285714285716
2020-03-06,7,4.142857142857143
2020-03-07,2,4.285714285714286
2020-03-08,7,5.0
2020-03-09,13,6.428571428571429
2020-03-10,6,6.428571428571429
2020-03-11,16,7.857142857142857
2020-03-12,14,9.285714285714286
2020-03-13,19,11.0
2020-03-14,20,13.571428571428571
2020-03-15,38,18.0
2020-03-16,29,20.285714285714285
2020-03-17,64,28.571428571428573
2020-03-18,45,32.714285714285715
2020-03-19,56,38.714285714285715
2020-03-20,88,48.57142857142857
2020-03-21,122,63.142857142857146
2020-03-22,121,75.0
2020-03-23,177,96.14285714285714
2020-03-24,192,114.42857142857143
2020-03-25,206,137.42857142857142
2020-03-26,185,155.85714285714286
2020-03-27,213,173.71428571428572
2020-03-28,143,176.71428571428572
2020-03-29,124,177.14285714285714
2020-03-30,90,164.71428571428572
2020-03-31,131,156.0
2020-04-01,124,144.28571428571428
2020-04-02,92,131.0
2020-04-03,106,115.71428571428571
2020-04-04,73,105.71428571428571
2020-04-05,63,97.0
2020-04-06,40,89.85714285714286
2020-04-07,44,77.42857142857143
2020-04-08,45,66.14285714285714
2020-04-09,41,58.857142857142854
2020-04-10,30,48.0
2020-04-11,18,40.142857142857146
2020-04-12,10,32.57142857142857
2020-04-13,7,27.857142857142858
2020-04-14,21,24.571428571428573
2020-04-15,22,21.285714285714285
2020-04-16,22,18.571428571428573
2020-04-17,15,16.428571428571427
2020-04-18,17,16.285714285714285
2020-04-19,7,15.857142857142858
2020-04-20,2,15.142857142857142
2020-04-21,6,13.0
2020-04-22,3,10.285714285714286
2020-04-23,8,8.285714285714286
2020-04-24,14,8.142857142857142
2020-04-25,3,6.142857142857143
2020-04-26,1,5.285714285714286
2020-04-27,5,5.714285714285714
2020-04-28,10,6.285714285714286
2020-04-29,3,6.285714285714286
2020-04-30,15,7.285714285714286
2020-05-01,2,5.571428571428571
2020-05-02,2,5.428571428571429
2020-05-03,1,5.428571428571429
2020-05-04,4,5.285714285714286
2020-05-05,5,4.571428571428571
2020-05-06,3,4.571428571428571
2020-05-07,2,2.7142857142857144
2020-05-08,4,3.0
2020-05-09,1,2.857142857142857
2020-05-10,1,2.857142857142857
2020-05-12,5,3.0
2020-05-13,4,2.857142857142857
2020-05-14,3,2.857142857142857
2020-05-15,2,2.857142857142857
2020-05-17,1,2.4285714285714284
2020-05-18,2,2.5714285714285716
2020-05-19,4,3.0
2020-05-20,1,2.4285714285714284
2020-05-21,3,2.2857142857142856
2020-05-23,1,2.0
2020-05-24,1,1.8571428571428572
2020-05-25,2,2.0
2020-05-27,1,1.8571428571428572
2020-05-28,2,1.5714285714285714
2020-05-29,1,1.5714285714285714
2020-05-30,2,1.4285714285714286